E N alt mass diam kinE incid eject flight
496540 4250493 297 8.742 0.19 64.27 3 3 27
496901 4250738 303 1169.063 0.96 3226.88 11 10 15
496690 4250782 252 0.628 0.08 4.63 0 1 30
496782 4250474 318 13.476 0.22 17.44 24 18 11
496495 4250656 265 215.425 0.55 413.83 12 11 13
496675 4250684 214 95.023 0.42 58.71 1 1 7
497858 4250041 244 24.587 0.26 235.69 16 19 29
496808 4250657 277 1.503 0.11 7.63 2 3 23
497063 4250584 371 1.568 0.11 4.91 13 14 18
497576 4250058 144 2.338 0.12 19.35 11 17 29
496404 4250554 319 1471.409 1.06 3739.37 15 13 15
496928 4250402 349 12.820 0.22 33.48 18 16 15
496686 4250682 214 9.999 0.19 8.18 3 3 8
496677 4250693 214 22.649 0.26 5.12 5 6 4
496851 4250507 337 2.097 0.12 9.49 5 6 21
496106 4250670 175 0.480 0.07 1.43 14 29 17
496669 4250690 214 2.864 0.13 0.38 0 0 2
496828 4250731 290 1.770 0.11 8.77 3 4 22
496447 4250717 285 24.381 0.26 123.07 5 5 21
497010 4250608 379 153.318 0.48 382.73 17 14 15
496446 4250995 228 10.316 0.20 68.40 6 7 24
496647 4250696 214 10.921 0.20 3.22 12 13 4
496538 4251039 235 0.420 0.07 2.38 3 8 27
496678 4250661 214 6.084 0.17 13.84 1 1 13
497298 4250962 275 11.816 0.20 53.00 19 20 19
495926 4251197 25 3.656 0.14 28.42 12 17 26
496550 4250584 256 26.046 0.27 18.03 36 28 7
496064 4250834 128 46.853 0.33 194.69 23 27 16
496958 4249725 127 167.050 0.49 2529.02 8 9 36
496665 4250681 214 3.772 0.14 7.24 0 0 12
496651 4250813 260 0.100 0.04 0.12 6 11 12
496808 4250742 277 14.989 0.22 56.60 4 4 18
495035 4253394 -2 8124.674 1.82 195855.89 18 20 42
496638 4250592 240 2.522 0.12 20.68 1 1 29
496637 4250685 214 2.807 0.13 4.13 3 3 10
496674 4250699 214 5.003 0.16 3.94 1 1 7
496766 4250811 281 88.515 0.42 89.84 20 15 9
496704 4250615 232 12.845 0.21 52.84 2 2 19
497074 4251771 0 110.763 0.44 992.75 18 22 25
496732 4250783 262 1.896 0.11 2.38 11 10 10
496832 4250660 286 7.210 0.18 4.24 42 27 7
496647 4250664 214 7.697 0.18 53.05 0 0 25
496794 4250709 267 37.650 0.30 30.29 20 16 8
496598 4250663 225 942.611 0.91 1966.16 5 5 13
496522 4250753 257 5.062 0.15 13.39 7 7 15
496685 4250888 275 3.477 0.14 15.29 4 5 20
497236 4250416 266 54.548 0.35 168.18 32 31 14
496670 4250677 214 49.117 0.34 37.34 2 2 7
496642 4250005 144 1.761 0.11 8.67 15 20 20
496181 4250786 194 6.323 0.17 18.62 24 27 14
496965 4250750 318 76.659 0.38 354.75 8 7 20
496320 4251589 8 38.223 0.31 380.82 12 15 28
496673 4250687 214 7.875 0.19 0.70 9 13 2
496409 4250147 179 41.896 0.32 235.45 14 16 21
498149 4250052 295 128.104 0.45 1254.40 22 23 27
496664 4250327 313 0.605 0.08 2.85 5 9 23
496688 4250785 250 60.735 0.35 187.01 4 4 16
496616 4250682 216 1.886 0.11 3.04 4 4 11
495444 4250378 91 0.438 0.07 2.40 17 31 23
496929 4250752 302 6.176 0.17 25.65 7 7 20
497731 4250551 106 151.083 0.48 2022.86 10 11 33
496944 4250875 276 284.455 0.60 1367.33 9 8 20
496398 4250776 273 12.556 0.22 50.31 8 8 19
496808 4249931 133 6.208 0.17 48.46 10 13 26
496671 4250697 214 56.080 0.35 106.20 0 0 12
496733 4250614 246 0.447 0.07 2.70 0 2 27
496638 4250811 259 2.062 0.12 6.53 4 5 17
496674 4250693 214 2.536 0.12 5.81 0 0 13
496599 4250840 262 329.164 0.63 3572.09 1 2 31
496754 4250363 339 1.012 0.09 2.26 14 16 15
496643 4250672 214 42.142 0.31 21.44 9 9 6
496541 4250642 248 4.340 0.15 7.10 10 10 12
496777 4250761 265 27.290 0.27 107.50 4 4 18
497045 4250244 262 14506.509 2.20 124659.26 9 9 26
496573 4250751 242 0.446 0.07 0.93 4 7 15
